parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,能源,119,n
,,综合条目,120,n
能源,categories,能源采矿公司,118,n
能源,categories,石油天然气公司,118,n
能源,categories,石油,118,n
能源,word,能源,118,n
能源,word,1/3焦煤,118,n
能源,word,1/2中粘煤,118,n
能源,word,不可再生能源,118,n
能源,word,波浪能,118,n
能源,word,不粘煤,118,n
能源,word,标准燃料,118,n
能源,word,标准煤,118,n
能源,word,北煤南运,118,n
能源,word,常规能源,118,n
能源,word,储量替代率,118,n
能源,word,潮汐能,118,n
能源,word,采收率,118,n
能源,word,储采比,118,n
能源,word,长焰煤,118,n
能源,word,城市煤气供应量,118,n
能源,word,城市煤气,118,n
能源,word,储量损失率,118,n
能源,word,川气东送工程,118,n
能源,word,地热能,118,n
能源,word,水能,118,n
能源,word,电池,118,n
能源,word,低碳能源,118,n
能源,word,低热值燃料,118,n
能源,word,当量热值,118,n
能源,word,等价热值,118,n
能源,word,动用储量,118,n
能源,word,大亚湾核电站,118,n
能源,word,大能源观,118,n
能源,word,电能,118,n
能源,word,电能计量,118,n
能源,word,地热发电,118,n
能源,word,二次能源,118,n
能源,word,二次能源生产量,118,n
能源,word,腐植煤,118,n
能源,word,非化石能源,118,n
能源,word,分类电价制度,118,n
能源,word,费用分摊制度,118,n
能源,word,非燃料能源,118,n
能源,word,非商品能源,118,n
能源,word,非常规石油,118,n
能源,word,非清洁能源,118,n
能源,word,肥煤,118,n
能源,word,风化煤,118,n
能源,word,发生炉煤气,118,n
能源,word,非矿物能源,118,n
能源,word,分布式能源系统,118,n
能源,word,发电能源,118,n
能源,word,过程性能源,118,n
能源,word,固体能源,118,n
能源,word,工业企业能源消费量,118,n
能源,word,工业生产综合能源消费量,118,n
能源,word,高炉煤气,118,n
能源,word,固体废物资源化,118,n
能源,word,高碳能源,118,n
能源,word,化石能源,118,n
能源,word,海洋能,118,n
能源,word,海洋温差能,118,n
能源,word,核能,118,n
能源,word,含能体能源,118,n
能源,word,海流能,118,n
能源,word,耗能工质,118,n
能源,word,褐煤,118,n
能源,word,海洋工程,118,n
能源,word,海洋资源,118,n
能源,word,后续能源,118,n
能源,word,化石燃料淘汰,118,n
能源,word,经济可采储量,118,n
能源,word,焦煤,118,n
能源,word,间接节能,118,n
能源,word,焦炉煤气,118,n
能源,word,节能,118,n
能源,word,节能减排,118,n
能源,word,基础储量,118,n
能源,word,节能技术,118,n
能源,word,甲醇经济,118,n
能源,word,阶梯气价,118,n
能源,word,节能降耗,118,n
能源,word,可再生能源,118,n
能源,word,可再生能源配额制,118,n
能源,word,可再生能源专项资金,118,n
